EventTime	AirTemp	RH	DP	ChuckTemp	ModTemp	sLid	sVacuu	sPressure
20230314163856	20.41	0.19	-52.91	20.98	0	0	0	0
20230314163857	20.36	0.07	-61.01	20.97	0	0	0	0
20230314163858	20.36	0.13	-56.09	20.98	0	0	0	0
20230314163859	20.36	0.09	-59.04	20.98	0	0	0	0
20230314163900	20.36	0.11	-57.44	20.99	0	0	0	0
20230314163901	20.38	0.01	-74.91	20.98	0	0	0	0
20230314163902	20.36	0.09	-59.04	20.97	0	0	0	0
20230314163903	20.38	0.07	-61.0	20.97	0	0	0	0
20230314163904	20.36	0.09	-59.04	20.99	0	0	0	0
20230314163905	20.38	0.09	-59.03	20.98	0	0	0	0
20230314163906	20.35	0.09	-59.05	20.98	0	0	0	0
20230314163907	20.36	0.11	-57.44	20.98	0	0	0	0
20230314163909	20.35	0.09	-59.05	20.99	0	0	0	0
