EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230314164100	20.35	0.0	-88.87	20.97	0	0	0	0
20230314164101	20.35	0.11	-57.45	20.98	0	0	0	0
20230314164102	20.38	0.11	-57.43	20.98	0	0	0	0
20230314164103	20.38	0.05	-63.57	20.99	0	0	0	0
20230314164104	20.36	0.11	-57.44	20.97	0	0	0	0
20230314164106	20.36	0.11	-57.44	20.98	0	0	0	0
20230314164107	20.36	0.13	-56.09	20.98	0	0	0	0
20230314164108	20.36	0.07	-61.01	20.98	0	0	0	0
20230314164109	20.38	0.11	-57.43	20.98	0	0	0	0
20230314164110	20.38	0.05	-63.57	20.98	0	0	0	0
20230314164111	20.36	0.11	-57.44	20.98	0	0	0	0
20230314164112	20.39	0.09	-59.03	20.99	0	0	0	0
20230314164113	20.39	0.01	-74.91	20.98	0	1	0	0
20230314164114	20.38	0.07	-61.0	20.97	0	1	0	0
20230314164115	20.35	0.13	-56.09	20.99	0	1	0	0
20230314164116	20.39	0.13	-56.07	20.98	0	1	0	0
20230314164117	20.38	0.09	-59.03	20.98	0	0	0	0
20230314164118	20.38	0.03	-67.33	20.99	0	0	0	0
20230314164119	20.35	0.07	-61.01	20.98	0	0	0	0
20230314164120	20.38	0.05	-63.57	20.99	0	0	0	0
20230314164122	20.38	0.13	-56.08	20.99	0	0	0	0
20230314164123	20.38	0.0	-88.86	20.99	0	0	0	0
