EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321100955	21.22	12.62	-8.72	20.94	0	0	0	0
20230321100956	21.22	12.64	-8.7	20.94	0	0	0	0
20230321100957	21.22	12.6	-8.74	20.94	0	0	0	0
20230321100958	21.23	12.6	-8.73	20.94	0	0	0	0
20230321101000	21.23	12.69	-8.64	20.94	0	0	0	0
20230321101001	21.25	12.69	-8.62	20.95	0	0	0	0
20230321101002	21.23	12.67	-8.66	20.94	0	0	0	0
20230321101003	21.22	12.71	-8.63	20.94	0	0	0	0
20230321101004	21.25	12.67	-8.64	20.94	0	0	0	0
20230321101005	21.25	12.76	-8.55	20.95	0	0	0	0
20230321101006	21.23	12.65	-8.68	20.94	0	0	0	0
20230321101007	21.25	12.71	-8.6	20.94	0	0	0	0
20230321101008	21.26	12.69	-8.62	20.94	0	0	0	0
20230321101009	21.25	12.69	-8.62	20.94	0	0	0	0
20230321101010	21.25	12.73	-8.58	20.94	0	0	0	0
20230321101011	21.23	12.69	-8.64	20.94	0	0	0	0
20230321101012	21.22	12.78	-8.56	20.94	0	0	0	0
20230321101013	21.26	12.71	-8.6	20.94	0	0	0	0
20230321101014	21.25	12.67	-8.64	20.94	0	0	0	0
20230321101015	21.27	12.71	-8.59	20.94	0	0	0	0
20230321101016	21.25	12.71	-8.6	20.94	0	0	0	0
20230321101017	21.25	12.67	-8.64	20.94	0	0	0	0
20230321101019	21.29	12.71	-8.57	20.94	0	0	0	0
20230321101020	21.26	12.75	-8.56	20.94	0	0	0	0
20230321101021	21.26	12.65	-8.66	20.94	0	0	0	0
20230321101022	21.25	12.73	-8.58	20.94	0	0	0	0
20230321101023	21.26	12.75	-8.56	20.94	0	0	0	0
20230321101024	21.26	12.69	-8.62	20.94	0	0	0	0
20230321101025	21.25	12.73	-8.58	20.94	0	0	0	0
20230321101026	21.25	12.78	-8.53	20.94	0	0	0	0
20230321101027	21.25	12.75	-8.56	20.94	0	0	0	0
20230321101028	21.23	12.73	-8.6	20.94	0	0	0	0
20230321101029	21.25	12.81	-8.5	20.93	0	0	0	0
20230321101030	21.25	12.78	-8.53	20.94	0	0	0	1
20230321101031	21.23	12.78	-8.55	20.93	0	0	0	0
20230321101032	21.23	12.8	-8.53	20.94	0	0	0	0
20230321101033	21.23	12.85	-8.48	20.94	0	0	0	0
20230321101034	21.23	12.81	-8.52	20.94	0	0	0	0
20230321101035	21.23	12.85	-8.48	20.93	0	0	0	0
20230321101036	21.23	12.8	-8.53	20.93	0	0	0	0
20230321101037	21.25	12.84	-8.47	20.94	0	0	0	0
20230321101039	21.25	12.85	-8.46	20.93	0	0	0	0
20230321101040	21.25	12.92	-8.39	20.93	0	0	0	0
20230321101041	21.23	12.92	-8.41	20.94	0	0	0	0
20230321101042	21.23	12.94	-8.39	20.93	0	0	0	0
20230321101043	21.22	12.94	-8.4	20.93	0	0	0	0
20230321101044	21.23	12.91	-8.42	20.93	0	0	0	0
20230321101045	21.23	12.91	-8.42	20.93	0	0	0	0
20230321101046	21.23	12.84	-8.49	20.93	0	0	0	0
20230321101047	21.22	12.85	-8.49	20.93	0	0	0	0
20230321101048	21.25	12.78	-8.53	20.93	0	0	0	1
20230321101049	21.25	12.87	-8.44	20.92	0	0	0	0
20230321101050	21.23	12.81	-8.52	20.93	0	0	0	0
20230321101051	21.25	12.85	-8.46	20.93	0	0	0	0
20230321101052	21.25	12.84	-8.47	20.93	0	0	0	1
20230321101053	21.23	12.81	-8.52	20.92	0	0	0	0
20230321101054	21.25	12.87	-8.44	20.92	0	0	0	1
20230321101055	21.26	12.91	-8.4	20.92	0	0	0	1
20230321101056	21.26	12.93	-8.38	20.92	0	0	0	0
20230321101058	21.23	12.96	-8.37	20.93	0	0	0	0
20230321101059	21.25	12.96	-8.35	20.93	0	0	0	0
20230321101100	21.22	12.98	-8.36	20.93	0	0	0	0
20230321101101	21.25	12.98	-8.33	20.93	0	0	0	0
20230321101102	21.25	12.94	-8.37	20.93	0	0	0	0
20230321101103	21.22	12.96	-8.38	20.94	0	0	0	0
20230321101104	21.25	13.0	-8.31	20.93	0	0	0	0
20230321101105	21.25	12.94	-8.37	20.94	0	0	0	0
20230321101106	21.22	13.0	-8.34	20.94	0	0	0	0
20230321101107	21.22	12.96	-8.38	20.92	0	0	0	1
20230321101108	21.23	12.92	-8.41	20.92	0	0	0	0
20230321101109	21.25	12.89	-8.42	20.92	0	0	0	0
20230321101110	21.25	12.81	-8.5	20.92	0	0	0	0
20230321101111	21.2	12.9	-8.45	20.94	0	0	0	0
20230321101112	21.25	12.89	-8.42	20.92	0	0	0	0
20230321101113	21.23	12.94	-8.39	20.93	0	0	0	0
20230321101114	21.23	12.84	-8.49	20.93	0	0	0	0
