EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321120753	20.24	0.26	-50.31	20.31	19.33	1	1	1	1
20230321120754	20.21	0.1	-58.28	20.32	19.34	1	1	1	1
20230321120755	20.22	0.1	-58.27	20.32	19.34	1	1	1	1
20230321120756	20.21	0.22	-51.77	20.32	19.34	1	1	1	1
20230321120757	20.19	0.12	-56.82	20.32	19.34	1	1	1	1
20230321120758	20.21	0.1	-58.28	20.32	19.34	1	1	1	1
20230321120759	20.24	0.14	-55.54	20.32	19.33	1	1	1	1
20230321120800	20.22	0.16	-54.45	20.32	19.34	1	1	1	1
20230321120801	20.24	0.13	-56.15	20.32	19.34	1	1	1	1
20230321120803	20.21	0.18	-53.47	20.32	19.34	1	1	1	1
20230321120804	20.21	0.13	-56.16	20.32	19.34	1	1	1	1
20230321120805	20.22	0.14	-55.55	20.32	19.34	1	1	1	1
