EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230328161300	21.36	0.18	-52.87	21.44	20.0	1	1	1	1
20230328161302	21.31	0.04	-64.81	21.44	20.01	1	1	1	1
20230328161303	21.31	0.13	-55.61	21.44	20.0	1	1	1	1
20230328161304	21.31	0.07	-60.56	21.44	20.01	1	1	1	1
20230328161305	21.31	0.07	-60.56	21.44	20.0	1	1	1	1
20230328161306	21.34	0.07	-60.54	21.44	20.0	1	1	1	1
20230328161307	21.34	0.16	-53.87	21.45	20.0	1	1	1	1
20230328161308	21.33	0.06	-61.74	21.44	20.0	1	1	1	1
20230328161309	21.33	0.07	-60.55	21.44	20.0	1	1	1	1
20230328161310	21.34	0.12	-56.25	21.44	20.0	1	1	1	1
20230328161311	21.33	0.1	-57.73	21.44	20.0	1	1	1	1
20230328161312	21.33	0.16	-53.88	21.44	20.0	1	1	1	1
20230328161313	21.33	0.07	-60.55	21.44	20.0	1	1	1	1
20230328161314	21.31	0.07	-60.56	21.44	20.0	1	1	1	1
20230328161315	21.33	0.12	-56.25	21.44	20.0	1	1	1	1
20230328161316	21.33	0.07	-60.55	21.44	20.0	1	1	1	1
20230328161317	21.33	0.12	-56.25	21.44	20.0	1	1	1	1
20230328161318	21.34	0.07	-60.54	21.44	20.0	1	1	1	1
20230328161319	21.31	0.16	-53.89	21.44	20.0	1	1	1	1
20230328161320	21.33	0.1	-57.73	21.44	20.0	1	1	1	1
20230328161321	21.33	0.07	-60.55	21.44	20.0	1	1	1	1
20230328161322	21.34	0.13	-55.59	21.45	20.0	1	1	1	1
20230328161324	21.36	0.16	-53.86	21.44	20.02	1	1	1	1
20230328161325	21.34	0.04	-64.79	21.45	20.01	1	1	1	1
20230328161326	21.3	0.05	-63.14	21.44	20.0	1	1	1	1
20230328161327	21.31	0.13	-55.61	21.44	20.0	1	1	1	1
20230328161328	21.31	0.07	-60.56	21.44	20.0	1	1	1	1
20230328161329	21.34	0.13	-55.59	21.44	20.0	1	1	1	1
20230328161330	21.34	0.07	-60.54	21.44	20.0	1	1	1	1
20230328161331	21.34	0.12	-56.25	21.44	20.0	1	1	1	1
20230328161332	21.33	0.07	-60.55	21.44	20.0	1	1	1	1
20230328161333	21.33	0.07	-60.55	21.44	20.0	1	1	1	1
20230328161334	21.34	0.12	-56.25	21.44	20.01	1	1	1	1
20230328161335	21.34	0.04	-64.79	21.44	20.0	1	1	1	1
20230328161336	21.34	0.1	-57.72	21.44	19.99	1	1	1	1
20230328161337	21.33	0.12	-56.25	21.44	20.0	1	1	1	1
20230328161338	21.36	0.1	-57.71	21.44	20.0	1	1	1	1
20230328161339	21.34	0.06	-61.73	21.44	20.0	1	1	1	1
20230328161340	21.31	0.1	-57.74	21.44	20.0	1	1	1	1
20230328161341	21.34	0.1	-57.72	21.44	20.0	1	1	1	1
20230328161342	21.31	0.1	-57.74	21.44	20.0	1	1	1	1
20230328161343	21.31	0.11	-56.97	21.44	20.0	1	1	1	1
