Voltage[V]	Current[nA]	ErrorCurrent[nA]
0.00	15.00	0.00
4.69	115.00	0.00
9.70	150.00	0.00
14.62	170.00	0.00
19.70	175.00	0.00
24.70	175.00	0.00
29.80	175.00	0.00
34.74	179.00	0.00
39.80	180.00	0.00
44.80	180.00	0.00
49.89	180.00	0.00
54.80	180.00	0.00
59.80	180.00	0.00
64.70	180.00	0.00
69.80	185.00	0.00
74.78	185.00	0.00
79.80	185.00	0.00
84.80	185.00	0.00
89.80	187.00	0.00
94.80	189.00	0.00
99.90	190.00	0.00
104.80	190.00	0.00
109.90	190.00	0.00
114.70	190.00	0.00
119.80	190.00	0.00
124.80	190.00	0.00
129.87	193.00	0.00
134.80	195.00	0.00
139.90	195.00	0.00
144.90	195.00	0.00
149.90	195.00	0.00
154.90	195.00	0.00
160.00	195.00	0.00
164.97	196.00	0.00
169.90	197.50	0.00
174.94	199.50	0.00
179.90	200.00	0.00
185.00	200.00	0.00
189.90	200.00	0.00
194.90	200.00	0.00
199.90	200.00	0.00
